UNITID,PREDDEG,CURROPER,TUITIONFEE_IN,EARN_2011,GRAD_DEBT_MDN,COMPL_RPY_3YR_RT,MD_INC_RPY_5YR_RT
105534,1,1,13932.234,25500,9498,0.651920966,0.680314961
105543,1,1,13932.234,25500,9498,0.651920966,0.680314961
105589,3,1,29732,27400,25000,0.62,0.841059603
105659,1,1,13932.234,34700,12708,0.651069519,0.697
105668,1,1,1974,32900,15000,0.388059701,0.58974359
105677,1,1,13932.234,26997,17105,0.62,0.697
105701,1,1,13932.234,26997,17105,0.62,0.697
105747,2,1,1974,29900,17105,0.62,0.688596491
105792,2,1,1974,23900,17105,0.62,0.697
105899,3,1,21832,25500,22625,0.62,0.697
105987,1,1,13932.234,20700,9500,0.62,0.697
106041,2,1,13932.234,33800,18363,0.73471167,0.750881612
106102,3,1,6000,29100,33718.5,0.62,0.669216922
106111,1,1,13932.234,17700,9083,0.62,0.701754386
106148,1,1,1872,22600,10926,0.62,0.614035088
106245,3,1,7094,28500,23000,0.62,0.695132366
106263,3,1,13932.234,55200,12820,0.62,0.697
106281,1,1,13932.234,26997,16500,0.62,0.697
106306,3,1,8040,15200,38125,0.62,0.697
106315,1,1,13932.234,26997,10500,0.62,0.697
106324,1,1,13932.234,26997,6333,0.62,0.697
106342,3,1,23594,27100,25000,0.62,0.833333333
106351,1,1,13932.234,15000,12619.5,0.62,0.697
106360,1,1,13932.234,12100,7400,0.62,0.697
106397,3,1,7818,34500,21524,0.62,0.867291179
106412,3,1,5938,20000,27954.5,0.62,0.444987775
106449,1,1,2099,23700,6750,0.62,0.718518519
106458,3,1,7510,25500,20959,0.62,0.742730721
106467,3,1,5598,27000,17528,0.8136,0.784090909
106485,1,1,5793,24000,15418.5,0.62,0.673809524
106494,1,1,13932.234,12800,9900,0.512195122,0.697
106546,1,1,7804,46400,14750,0.847665848,0.697
106625,1,1,2520,20800,10559,0.62,0.697
106704,3,1,7595,28800,21617,0.62,0.802264151
106713,3,1,13350,29500,20501,0.62,0.697
106795,1,1,2212,19100,17105,0.62,0.697
106810,2,1,10900,27900,13350,0.62,0.697
106829,1,1,1350,18500,17105,0.62,0.697
106883,1,1,2520,18300,3197,0.62,0.697
106892,1,1,13932.234,17200,3888,0.443894389,0.697
106908,1,1,13932.234,26997,12500,0.576271186,0.697
106980,2,1,3020,20200,18477,0.62,0.633333333
106999,1,1,2166,21300,9350,0.62,0.697
107044,3,1,16170,31700,26250,0.62,0.901639344
107071,3,1,7580,27700,20191,0.62,0.704500978
107080,3,1,37816,25800,24924,0.62,0.90990991
107099,1,1,13932.234,26997,4000,0.62,0.697
107123,1,1,13932.234,26997,16246,0.62,0.697
107141,3,1,22734,37300,22500,0.955684008,0.697
107211,1,1,13932.234,26997,17105,0.62,0.697
